"MUNIC_RES","ANO","POPULACAO"
"1100015","2021",22516
"1100023","2021",111148
"1100031","2021",5067
"1100049","2021",86416
"1100056","2021",16088
"1100064","2021",15213
"1100072","2021",7052
"1100080","2021",19255
"1100098","2021",33009
"1100106","2021",46930
"1100114","2021",51469
"1100122","2021",131026
"1100130","2021",41724
"1100148","2021",20504
"1100155","2021",35445
"1100189","2021",37098
"1100205","2021",548952
"1100254","2021",18165
"1100262","2021",3843
"1100288","2021",55748
"1100296","2021",5942
"1100304","2021",104517
"1100320","2021",23147
"1100338","2021",32184
"1100346","2021",13807
"1100379","2021",13268
"1100403","2021",22258
"1100452","2021",41043
"1100502","2021",8125
"1100601","2021",6307
"1100700","2021",14391
"1100809","2021",28068
"1100908","2021",2923
"1100924","2021",11755
"1100940","2021",27131
"1101005","2021",7130
"1101104","2021",10819
"1101203","2021",9461
"1101302","2021",10691
"1101401","2021",16158
"1101435","2021",6822
"1101450","2021",6319
"1101468","2021",2127
"1101476","2021",2697
"1101484","2021",4962
"1101492","2021",21088
"1101500","2021",11846
"1101559","2021",4160
"1101609","2021",10348
"1101708","2021",11081
"1101757","2021",11545
"1101807","2021",6490
"1200013","2021",15721
"1200054","2021",7649
"1200104","2021",27123
"1200138","2021",10572
"1200179","2021",12280
"1200203","2021",89760
"1200252","2021",18979
"1200302","2021",34986
"1200328","2021",8628
"1200336","2021",19643
"1200344","2021",9701
"1200351","2021",19727
"1200385","2021",20147
"1200393","2021",12497
"1200401","2021",419452
"1200427","2021",19767
"1200435","2021",6893
"1200450","2021",23446
"1200500","2021",47168
"1200609","2021",43730
"1200708","2021",19866
"1200807","2021",19141
"1300029","2021",16396
"1300060","2021",11934
"1300086","2021",14292
"1300102","2021",21937
"1300144","2021",22739
"1300201","2021",20868
"1300300","2021",41005
"1300409","2021",27772
"1300508","2021",32919
"1300607","2021",44873
"1300631","2021",20503
"1300680","2021",20040
"1300706","2021",34958
"1300805","2021",42328
"1300839","2021",13482
"1300904","2021",15981
"1301001","2021",28719
"1301100","2021",38820
"1301159","2021",31459
"1301209","2021",86713
"1301308","2021",29691
"1301407","2021",36121
"1301506","2021",20748
"1301605","2021",16409
"1301654","2021",17193
"1301704","2021",57195
"1301803","2021",31172
"1301852","2021",49718
"1301902","2021",104046
"1301951","2021",7777
"1302009","2021",9312
"1302108","2021",1755
"1302207","2021",15495
"1302306","2021",13462
"1302405","2021",47685
"1302504","2021",99613
"1302553","2021",33981
"1302603","2021",2255903
"1302702","2021",57405
"1302801","2021",18298
"1302900","2021",66159
"1303007","2021",21710
"1303106","2021",38665
"1303205","2021",20395
"1303304","2021",26443
"1303403","2021",116439
"1303502","2021",19616
"1303536","2021",38095
"1303569","2021",34856
"1303601","2021",26566
"1303700","2021",20889
"1303809","2021",47031
"1303908","2021",40837
"1303957","2021",14678
"1304005","2021",9289
"1304062","2021",68502
"1304104","2021",16876
"1304203","2021",59250
"1304237","2021",19038
"1304260","2021",13839
"1304302","2021",16007
"1304401","2021",24098
"1400027","2021",13561
"1400050","2021",15249
"1400100","2021",436591
"1400159","2021",12701
"1400175","2021",19257
"1400209","2021",22635
"1400233","2021",10595
"1400282","2021",12637
"1400308","2021",18482
"1400407","2021",11772
"1400456","2021",20108
"1400472","2021",31387
"1400506","2021",8492
"1400605","2021",8232
"1400704","2021",11014
"1500107","2021",160439
"1500131","2021",7536
"1500206","2021",55744
"1500305","2021",39910
"1500347","2021",27797
"1500404","2021",57390
"1500503","2021",34044
"1500602","2021",117320
"1500701","2021",30091
"1500800","2021",540410
"1500859","2021",29312
"1500909","2021",46937
"1500958","2021",32200
"1501006","2021",16421
"1501105","2021",31967
"1501204","2021",49454
"1501253","2021",3239
"1501303","2021",129333
"1501402","2021",1506420
"1501451","2021",17944
"1501501","2021",64780
"1501576","2021",17254
"1501600","2021",16769
"1501709","2021",130122
"1501725","2021",14883
"1501758","2021",7357
"1501782","2021",68597
"1501808","2021",104280
"1501907","2021",29717
"1501956","2021",35307
"1502004","2021",24355
"1502103","2021",140814
"1502152","2021",39103
"1502202","2021",69828
"1502301","2021",54545
"1502400","2021",205667
"1502509","2021",24175
"1502608","2021",12175
"1502707","2021",48115
"1502756","2021",34236
"1502764","2021",14044
"1502772","2021",17764
"1502806","2021",35530
"1502855","2021",14776
"1502905","2021",41093
"1502939","2021",61206
"1502954","2021",34069
"1503002","2021",6949
"1503044","2021",20742
"1503077","2021",26155
"1503093","2021",41678
"1503101","2021",34127
"1503200","2021",39234
"1503309","2021",63367
